timestep,NO_Hydro_Min_Storage_Level,CH_Pump_Hydro_Open_Min_Storage_Level,FR_Hydro_Reservoir_Min_Storage_Level,FI_Hydro_Reservoir_Min_Storage_Level,SE_Hydro_Reservoir_Min_Storage_Level,SK_Hydro_Reservoir_Min_Storage_Level,NO_Hydro_Max_Storage_Level,CH_Pump_Hydro_Open_Max_Storage_Level,FR_Hydro_Reservoir_Max_Storage_Level,FI_Hydro_Reservoir_Max_Storage_Level,SE_Hydro_Reservoir_Max_Storage_Level,SK_Hydro_Reservoir_Max_Storage_Level
18,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
19,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
20,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
21,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
22,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
23,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
24,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
25,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
26,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
27,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
28,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
29,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
30,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
31,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
32,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
33,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
34,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
35,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
36,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
37,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
38,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
39,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
40,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
41,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
42,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
43,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
44,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
