n_rep_periods,clustering_type,weight_type,normalization,seed,regret_pct,mismatch_pct,total_time_s,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read,projection_error,max_weight_sum,cache_hit_rate,pgd_total_iters,termination_status,evaluation_termination_status,n_variables,n_constraints,eval_n_variables,eval_n_constraints,case_study,problem_class,source
20,k_means,conical_bounded,economic,653657,181.48199239325416,71.47732518597513,11.757211958,0.005243125,0.160799542,0.293412583,0.565778166,11.302999833,0.272698583,699098.7980619823,1.0000000000000002,,270833,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,k_medoids,dirac,economic,653657,33.84158632726238,32.75266169620504,5.648678458,0.0051495,0.153179542,8.75e-7,0.565572416,5.495498041,0.272698583,923534.0557216273,1.0,,0,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,k_medoids,convex,economic,653657,54.86821916257294,42.316059127024495,15.464084416999999,0.005222625,0.270975458,0.665656542,0.796035666,14.527452417,0.272698583,730742.5952093985,1.0000000000000002,,220435,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,k_medoids,conical,economic,653657,55.8354967402994,42.40959388827696,17.741337168,0.005207667,0.224848334,0.100947917,0.603854583,17.415540917,0.272698583,709635.7728552078,1.307466701824363,,236440,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,k_medoids,conical_bounded,economic,653657,56.420625909929086,43.03523404386506,18.825120458999997,0.005317333,0.228141958,0.202393167,0.65441475,18.394585334,0.272698583,720811.7796536578,1.0000000000000002,,226156,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,hierarchical,dirac,economic,653657,43.53273899826671,34.17489142230769,5.596379166,0.00524075,0.227421333,1.666e-6,0.567645375,5.368956167,0.272698583,958642.013119773,1.0,,0,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,hierarchical,convex,economic,653657,47.35066368895906,34.49679309425465,14.725507334,0.005146375,0.629690959,0.385767417,0.60409775,13.710048958,0.272698583,732565.5830529598,1.0000000000000002,,229519,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,hierarchical,conical,economic,653657,41.924695453767846,31.503829235818746,17.595487249999998,0.005238125,0.6215725,0.333952333,0.622130292,16.639962417,0.272698583,705145.7018532353,1.457530557603171,,247955,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,hierarchical,conical_bounded,economic,653657,48.26017029961118,35.508745910147155,22.217272167,0.005252375,0.626436667,0.394475875,0.59760475,21.196359625,0.272698583,721942.7799964669,1.0000000000000002,,233250,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,chronological,dirac,economic,653657,165.03362158623736,63.96431609257601,3.267944625,0.005177083,0.623544458,1.709e-6,0.6353995,2.644398458,0.272698583,1.0857749928973606e6,1.0,,0,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
