normalization,clustering_type,weight_type,tol,regret_min_pct,regret_median_pct,regret_max_pct,regret_range_pct,median_time_s
unscaled,hierarchical,convex,0.01,1.7529365264382868,1.7529365264382868,1.7529365264382868,0.0,0.045057666999999996
unscaled,hierarchical,conical_bounded,1.0e-5,1.3810142817187288,1.3810142817187288,1.3810142817187288,0.0,0.057268791
unscaled,hierarchical,conical_bounded,0.0001,1.380870412013091,1.380870412013091,1.380870412013091,0.0,0.055950874000000005
unscaled,hierarchical,conical_bounded,0.001,1.3821343106342088,1.3821343106342088,1.3821343106342088,0.0,0.051465542
unscaled,hierarchical,conical_bounded,0.01,1.3854282697290055,1.3854282697290055,1.3854282697290055,0.0,0.047628208
unscaled,hierarchical,conical,1.0e-5,2.9213543206619175,2.9213543206619175,2.9213543206619175,0.0,0.050823416999999996
unscaled,hierarchical,conical,0.0001,2.921220569042138,2.921220569042138,2.921220569042138,0.0,0.048777792
unscaled,hierarchical,conical,0.001,2.9223507868554766,2.9223507868554766,2.9223507868554766,0.0,0.051486041
unscaled,hierarchical,conical,0.01,2.9315722892802487,2.9315722892802487,2.9315722892802487,0.0,0.045614541
unscaled,chronological,convex,1.0e-5,5.474235799567273,5.474235799567273,5.474235799567273,0.0,0.07779333299999999
unscaled,chronological,convex,0.0001,4.424094769431086,4.424094769431086,4.424094769431086,0.0,0.063054876
unscaled,chronological,convex,0.001,3.640568983178416,3.640568983178416,3.640568983178416,0.0,0.053876833
unscaled,chronological,convex,0.01,5.699984861413232,5.699984861413232,5.699984861413232,0.0,0.04434946
unscaled,chronological,conical_bounded,1.0e-5,3.7733432754081697,3.7733432754081697,3.7733432754081697,0.0,0.093155084
unscaled,chronological,conical_bounded,0.0001,3.773413994383734,3.773413994383734,3.773413994383734,0.0,0.105541625
unscaled,chronological,conical_bounded,0.001,2.9797166343101145,2.9797166343101145,2.9797166343101145,0.0,0.059208208
unscaled,chronological,conical_bounded,0.01,3.445088615862746,3.445088615862746,3.445088615862746,0.0,0.050213333
unscaled,chronological,conical,1.0e-5,7.673500365780583,7.673500365780583,7.673500365780583,0.0,0.09750658400000001
unscaled,chronological,conical,0.0001,7.012211357550613,7.012211357550613,7.012211357550613,0.0,0.056854041
unscaled,chronological,conical,0.001,7.014016702567627,7.014016702567627,7.014016702567627,0.0,0.048935792000000006
unscaled,chronological,conical,0.01,7.412931374597687,7.412931374597687,7.412931374597687,0.0,0.045727333
unscaled,convex_hull,convex,1.0e-5,0.6857494360387184,0.6857494360387184,0.6857494360387184,0.0,0.060241959
unscaled,convex_hull,convex,0.0001,0.6859294326147181,0.6859294326147181,0.6859294326147181,0.0,0.058514458
unscaled,convex_hull,convex,0.001,0.684845436038084,0.684845436038084,0.684845436038084,0.0,0.053992456999999994
unscaled,convex_hull,convex,0.01,0.8779203114305689,0.8779203114305689,0.8779203114305689,0.0,0.054401749
unscaled,convex_hull,conical_bounded,1.0e-5,0.6857487633850523,0.6857487633850523,0.6857487633850523,0.0,0.06786091799999999
unscaled,convex_hull,conical_bounded,0.0001,0.6858605728671252,0.6858605728671252,0.6858605728671252,0.0,0.064417376
unscaled,convex_hull,conical_bounded,0.001,0.6854972672957871,0.6854972672957871,0.6854972672957871,0.0,0.063844334
unscaled,convex_hull,conical_bounded,0.01,0.7054169458332593,0.7054169458332593,0.7054169458332593,0.0,0.081759833
unscaled,convex_hull,conical,1.0e-5,1.465323552218556,1.465323552218556,1.465323552218556,0.0,0.062273041
unscaled,convex_hull,conical,0.0001,1.4653901017994464,1.4653901017994464,1.4653901017994464,0.0,0.058876917
unscaled,convex_hull,conical,0.001,1.465349283340145,1.465349283340145,1.465349283340145,0.0,0.056485833
unscaled,convex_hull,conical,0.01,1.4512623685933423,1.4512623685933423,1.4512623685933423,0.0,0.053874499
unscaled,convex_hull_with_null,convex,1.0e-5,1.0018324840778803,1.0018324840778803,1.0018324840778803,0.0,0.069730335
unscaled,convex_hull_with_null,convex,0.0001,1.0018351272363057,1.0018351272363057,1.0018351272363057,0.0,0.07040708400000001
unscaled,convex_hull_with_null,convex,0.001,1.0016091274220207,1.0016091274220207,1.0016091274220207,0.0,0.047211291
unscaled,convex_hull_with_null,convex,0.01,0.9968453124640453,0.9968453124640453,0.9968453124640453,0.0,0.047361751
unscaled,convex_hull_with_null,conical_bounded,1.0e-5,1.0018441169536096,1.0018441169536096,1.0018441169536096,0.0,0.073370166
unscaled,convex_hull_with_null,conical_bounded,0.0001,1.0017732915034383,1.0017732915034383,1.0017732915034383,0.0,0.066363583
unscaled,convex_hull_with_null,conical_bounded,0.001,1.0017546338303207,1.0017546338303207,1.0017546338303207,0.0,0.06438191600000001
unscaled,convex_hull_with_null,conical_bounded,0.01,0.9979396772367588,0.9979396772367588,0.9979396772367588,0.0,0.06084199999999999
unscaled,convex_hull_with_null,conical,1.0e-5,1.955271865475261,1.955271865475261,1.955271865475261,0.0,0.067288
unscaled,convex_hull_with_null,conical,0.0001,1.9552696662018088,1.9552696662018088,1.9552696662018088,0.0,0.063134542
unscaled,convex_hull_with_null,conical,0.001,1.9566550061971721,1.9566550061971721,1.9566550061971721,0.0,0.056285334
unscaled,convex_hull_with_null,conical,0.01,2.0005362729148324,2.0005362729148324,2.0005362729148324,0.0,0.056172625000000004
unscaled,conical_hull,convex,1.0e-5,1.1879737668152757,1.1879737668152757,1.1879737668152757,0.0,0.059443583
unscaled,conical_hull,convex,0.0001,1.1879633492822839,1.1879633492822839,1.1879633492822839,0.0,0.058841084
unscaled,conical_hull,convex,0.001,1.1936563832997793,1.1936563832997793,1.1936563832997793,0.0,0.054034208
unscaled,conical_hull,convex,0.01,1.478916275858233,1.478916275858233,1.478916275858233,0.0,0.048410084
unscaled,conical_hull,conical_bounded,1.0e-5,1.1601657991143322,1.1601657991143322,1.1601657991143322,0.0,0.084570708
unscaled,conical_hull,conical_bounded,0.0001,1.1599559681311877,1.1599559681311877,1.1599559681311877,0.0,0.06128
unscaled,conical_hull,conical_bounded,0.001,1.0123304470074812,1.0123304470074812,1.0123304470074812,0.0,0.057482707999999993
unscaled,conical_hull,conical_bounded,0.01,1.481119055165192,1.481119055165192,1.481119055165192,0.0,0.0500935
unscaled,conical_hull,conical,1.0e-5,2.3380344586229507,2.3380344586229507,2.3380344586229507,0.0,0.055871083
unscaled,conical_hull,conical,0.0001,2.337560854041354,2.337560854041354,2.337560854041354,0.0,0.054826665999999996
unscaled,conical_hull,conical,0.001,2.192734346139402,2.192734346139402,2.192734346139402,0.0,0.055919290999999996
unscaled,conical_hull,conical,0.01,2.99050675535657,2.99050675535657,2.99050675535657,0.0,0.048341251
minmax,k_means,convex,1.0e-5,1.67737527633669,1.8134636863649911,2.1920203206565514,0.5146450443198614,0.045119334
minmax,k_means,convex,0.0001,1.6774081386200956,1.8132397887470564,2.1920185879524823,0.5146104493323866,0.04526962600000001
minmax,k_means,convex,0.001,1.6777533249076715,1.8175506589209522,2.1952963878875797,0.5175430629799083,0.043835793000000005
minmax,k_means,convex,0.01,1.7255375000316375,1.9271833561579355,2.2577045727229628,0.5321670726913252,0.043249002
minmax,k_means,conical_bounded,1.0e-5,1.6750586016377689,1.8173193258257614,2.1696923052971773,0.4946337036594084,0.049808042000000004
minmax,k_means,conical_bounded,0.0001,1.6750531430994808,1.8172653787910331,2.16972762764982,0.49467448455033924,0.043107959
minmax,k_means,conical_bounded,0.001,1.6755496356421817,1.8169293391949948,2.1696059056157457,0.494056269973564,0.043546001
minmax,k_means,conical_bounded,0.01,1.666281173306805,1.8037779176726554,2.16768500385609,0.5014038305492852,0.044147875
minmax,k_means,conical,1.0e-5,4.927656203665465,6.539699911949937,8.079376045343501,3.1517198416780365,0.044747375
minmax,k_means,conical,0.0001,4.927636146006753,6.5397006418699055,8.079219675521788,3.151583529515035,0.043924625
minmax,k_means,conical,0.001,4.927809467271316,6.5392645546876516,8.079574268228097,3.151764800956781,0.044886749999999996
minmax,k_means,conical,0.01,4.621635035641747,6.399080306127147,8.014324522323978,3.3926894866822312,0.045272249
minmax,k_medoids,convex,1.0e-5,1.4223627698399355,1.8660542083460685,2.437267987228009,1.0149052173880735,0.046896416999999996
minmax,k_medoids,convex,0.0001,1.422418699668282,1.8660974671776076,2.4373020705317883,1.0148833708635063,0.044409833
minmax,k_medoids,convex,0.001,1.4221006310924045,1.8659866433528016,2.437292285422088,1.0151916543296835,0.045558666
minmax,k_medoids,convex,0.01,1.509048162322113,1.891106662288311,2.4959805701974425,0.9869324078753294,0.044567667000000005
minmax,k_medoids,conical_bounded,1.0e-5,1.422362725332249,1.8660566830989156,2.437267274974908,1.014904549642659,0.045262125
minmax,k_medoids,conical_bounded,0.0001,1.422395707354407,1.8660894986414212,2.4372917229661617,1.0148960156117548,0.047255708
minmax,k_medoids,conical_bounded,0.001,1.421949751821927,1.8659729360165356,2.4373819141670916,1.0154321623451645,0.045112125
minmax,k_medoids,conical_bounded,0.01,1.4284323600365134,1.8670134417570816,2.4378804570043044,1.009448096967791,0.045722417
minmax,k_medoids,conical,1.0e-5,5.074796752961452,6.168685308182398,7.150905439792132,2.07610868683068,0.044805793
minmax,k_medoids,conical,0.0001,5.072574224259441,6.1685770599991585,7.150886947363744,2.078312723104303,0.045895626
minmax,k_medoids,conical,0.001,5.0716200870811745,6.16745526675484,7.151732076226658,2.0801119891454833,0.045098209
minmax,k_medoids,conical,0.01,5.070239313113345,6.116378130939815,7.148942731486918,2.078703418373573,0.0450045
minmax,hierarchical,convex,1.0e-5,1.4696066669073193,1.4696066669073193,1.4696066669073193,0.0,0.042128584
minmax,hierarchical,convex,0.0001,1.4696140769989041,1.4696140769989041,1.4696140769989041,0.0,0.048784292
minmax,hierarchical,convex,0.001,1.4699031878580682,1.4699031878580682,1.4699031878580682,0.0,0.042360958
minmax,hierarchical,convex,0.01,1.5157141246097128,1.5157141246097128,1.5157141246097128,0.0,0.042621459
minmax,hierarchical,conical_bounded,1.0e-5,1.4696059651364113,1.4696059651364113,1.4696059651364113,0.0,0.045904583
minmax,hierarchical,conical_bounded,0.0001,1.4696180095664424,1.4696180095664424,1.4696180095664424,0.0,0.041806790999999996
minmax,hierarchical,conical_bounded,0.001,1.469797936931716,1.469797936931716,1.469797936931716,0.0,0.039831668
minmax,hierarchical,conical_bounded,0.01,1.4701179270484976,1.4701179270484976,1.4701179270484976,0.0,0.042616541
minmax,hierarchical,conical,1.0e-5,4.9291189673432045,4.9291189673432045,4.9291189673432045,0.0,0.045087833
