case_study,problem_class,source,n_rep_periods,clustering_type,weight_type,normalization,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,time_mean_s,time_sd_s,is_deterministic,pareto_frontier,reasonable_in_group
gep,investment,tyndp,40,chronological,dirac,economic,5,38.595455487850394,0.0,29.076812202309014,6.5789072748,0.1,true,false,false
gep,investment,tyndp,40,chronological,convex,economic,5,38.86943970204766,0.0,30.132718552790703,27.9505078332,0.3,true,false,false
gep,investment,tyndp,40,chronological,conical,economic,5,36.702656955098334,0.0,29.139284608694016,31.513748250200003,0.3,true,false,false
gep,investment,tyndp,40,chronological,conical_bounded,economic,5,42.03315092342827,0.0,32.708605661697554,30.444801691200002,0.4,true,false,false
gep,investment,tyndp,40,convex_hull,dirac,economic,5,2.3157565911180455,0.0,3.6428528168908736,19.5586414586,0.3,true,false,false
gep,investment,tyndp,40,convex_hull,convex,economic,5,3.075797126790536,0.0,9.042080047503372,23.704094025,0.2,true,false,false
gep,investment,tyndp,40,convex_hull,conical,economic,5,2.9065220386787383,0.0,12.538198077827804,29.114291892,0.4,true,false,false
gep,investment,tyndp,40,convex_hull,conical_bounded,economic,5,3.250862246713781,0.0,8.850994395150646,28.651955199599996,0.2,true,false,false
gep,investment,tyndp,40,convex_hull_with_null,dirac,economic,5,1.2961734368933442,0.0,1.2039398387227511,19.908690900199996,0.4,true,true,true
gep,investment,tyndp,40,convex_hull_with_null,convex,economic,5,2.249849766769829,0.0,7.935006542935179,40.3280759584,0.6,true,true,true
gep,investment,tyndp,40,convex_hull_with_null,conical,economic,5,2.631054833359703,0.0,8.754835666549532,33.5065846166,0.4,true,false,false
gep,investment,tyndp,40,convex_hull_with_null,conical_bounded,economic,5,2.6715955570255634,0.0,5.466054131586026,30.9769636994,0.5,true,false,false
gep,investment,tyndp,40,conical_hull,dirac,economic,5,12.656704730309443,0.0,0.17038282614265218,10.987074425000001,0.3,true,false,false
gep,investment,tyndp,40,conical_hull,convex,economic,5,13.277724057778851,0.0,11.221388498568162,25.585668016600003,0.6,true,false,false
gep,investment,tyndp,40,conical_hull,conical,economic,5,9.730625780901736,0.0,14.443773105052262,25.635612641799998,0.2,true,false,false
gep,investment,tyndp,40,conical_hull,conical_bounded,economic,5,13.424136729668245,0.0,11.10321405782705,21.7676821002,0.4,true,false,false
gep,investment,tyndp,80,k_means,dirac,economic,5,27.611052130530048,9.9,32.024051492604954,30.7103906,4.0,false,false,false
gep,investment,tyndp,80,k_means,convex,economic,5,20.240150246126536,9.0,24.926328941784185,108.9643169586,15.0,false,false,false
gep,investment,tyndp,80,k_means,conical,economic,5,19.2042790894314,9.5,23.303433353949693,106.52640629160001,5.5,false,false,false
