case_study,clustering_type,weight_type,n_rep_periods,total_spillage,total_borrow,max_weight_sum,eval_cost_of_operations,eval_cost_of_borrow
5bus,k_means,conical_bounded,40,202496.36291142454,0.0,1.0000000000000002,30869.794577047425,0.0
5bus,k_means,conical_bounded,80,197818.66211262555,0.0,1.0000000000000002,29664.906381152075,0.0
5bus,k_means,conical,10,216960.84709732133,1956.8192678637813,1.6496259324732505,388550.07848762686,19568.192678637814
5bus,k_means,conical,20,219298.0646920573,1585.6108846052728,1.6499532033895583,243842.40927793644,15856.108846052728
5bus,k_means,conical,40,213643.16090226787,0.0,1.7201722116571727,28020.24719561095,0.0
5bus,k_means,conical,80,203594.53340869362,0.0,1.650703972861887,26831.718725716724,0.0
5bus,k_medoids,dirac,10,213231.70674671017,0.0,1.0,27600.401323986014,0.0
5bus,k_medoids,dirac,20,206645.97402822407,0.0,1.0,28471.81091496168,0.0
5bus,k_medoids,dirac,40,201275.67288884008,0.0,1.0,20567.730125797363,0.0
5bus,k_medoids,dirac,80,197048.02466210697,0.0,1.0,16874.634346133746,0.0
5bus,k_medoids,convex,10,212084.40021022843,0.0,1.0000000000000002,27433.565219465905,0.0
5bus,k_medoids,convex,20,202189.98998186341,0.0,1.0000000000000002,27882.949837779102,0.0
5bus,k_medoids,convex,40,198871.38309655135,0.0,1.0000000000000002,20523.80911181055,0.0
5bus,k_medoids,convex,80,193864.82752975932,0.0,1.0000000000000004,17054.337805414514,0.0
5bus,k_medoids,conical_bounded,10,205404.93407434956,0.0,1.0,27905.001845483108,0.0
5bus,k_medoids,conical_bounded,20,195986.67376422597,0.0,1.0000000000000002,29316.281630475085,0.0
5bus,k_medoids,conical_bounded,40,193692.24006842653,0.0,1.0000000000000002,20858.15045975011,0.0
5bus,k_medoids,conical_bounded,80,191847.31285521868,0.0,1.0000000000000004,17310.551696838695,0.0
5bus,k_medoids,conical,10,215164.047741868,0.0,1.7520751931095746,27040.230720612122,0.0
5bus,k_medoids,conical,20,205076.55194568407,0.0,1.767704183077763,27309.036587174247,0.0
5bus,k_medoids,conical,40,203312.20961112404,0.0,1.7615966308279158,20327.376913399632,0.0
5bus,k_medoids,conical,80,196914.98648873204,0.0,1.817076894165647,16652.029151722065,0.0
5bus,hierarchical,dirac,10,218090.36839238447,0.0,1.0,42275.86725415177,0.0
5bus,hierarchical,dirac,20,203368.48974986313,0.0,1.0,34178.54735151653,0.0
5bus,hierarchical,dirac,40,210904.49300338846,0.0,1.0,17299.66361762262,0.0
5bus,hierarchical,dirac,80,211986.07235321443,0.0,1.0,17233.768126573214,0.0
5bus,hierarchical,convex,10,217555.04973938674,0.0,1.0000000000000002,42595.19371021706,0.0
5bus,hierarchical,convex,20,191337.1138109172,0.0,1.0000000000000002,37262.355662282615,0.0
5bus,hierarchical,convex,40,203680.63055943788,0.0,1.0000000000000002,17137.377550681394,0.0
5bus,hierarchical,convex,80,204422.71695385323,0.0,1.0000000000000004,17131.022643218148,0.0
5bus,hierarchical,conical_bounded,10,213288.42598981774,0.0,1.0,41341.51240741534,0.0
5bus,hierarchical,conical_bounded,20,190643.07640662492,0.0,1.0000000000000002,37780.94323080552,0.0
