clustering_type,weight_type,arm,n_rep_periods,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,mismatch_sd_pct,time_mean_s,time_sd_s,iters_mean,iters_sd
convex_hull,conical,proposed,10,5,0.9929940843692808,0.0,1.0014872414901326,0.0,0.08896072499999999,0.019740422170507435,63252.0,0.0
convex_hull,conical,proposed,20,5,0.24246938652274785,0.0,0.5433952439219898,0.0,0.4129528252,0.08578547643759528,247414.0,0.0
convex_hull,conical,proposed,40,5,0.14173521388243238,0.0,0.11320849918522,1.5515838457795457e-17,2.688943442,0.21028170428338505,1.605293e6,0.0
convex_hull,conical,proposed,80,5,-3.1530333899354446e-12,0.0,0.5218095871469304,0.0,15.729964600399999,0.3324855732621422,2.916224e6,0.0
convex_hull,conical,no_cache,10,5,0.9929940843692808,0.0,1.0014872414901326,0.0,0.1260551332,0.05072011075238723,63252.0,0.0
convex_hull,conical,no_cache,20,5,0.24246938652274785,0.0,0.5433952439219898,0.0,0.9462062168,0.09325998786571045,247414.0,0.0
convex_hull,conical,no_cache,40,5,0.14173521388243238,0.0,0.11320849918522,1.5515838457795457e-17,14.342491358,0.4428561585346249,1.605293e6,0.0
convex_hull,conical,no_cache,80,5,-3.1530333899354446e-12,0.0,0.5218095871469304,0.0,208.06081983320001,8.23998806685446,2.916224e6,0.0
convex_hull,conical,gram_only,10,5,0.9929859664097318,0.0,1.0016054989820198,0.0,0.5631733836,0.11149247945995827,2.76639e6,0.0
convex_hull,conical,gram_only,20,5,0.3445589429606155,0.0,1.0664701960118483,0.0,2.1494670832000002,0.045632528269560844,9.379305e6,0.0
convex_hull,conical,gram_only,40,5,0.09306116483320803,0.0,1.7381334671412758,2.482534153247273e-16,6.670906341199999,1.828694147625474,8.0e6,0.0
convex_hull,conical,gram_only,80,5,-4.662936703425657e-13,0.0,3.548256646388159,0.0,16.548100033599997,0.1409046781428065,4.0e6,0.0
convex_hull,conical,plain,10,5,0.992985966407578,0.0,1.0016054989836798,0.0,1.6429906500000002,0.07407708886040747,2.76639e6,0.0
convex_hull,conical,plain,20,5,0.34455894295915,0.0,1.0664701959688812,0.0,8.9328499,0.7426942300757146,9.379305e6,0.0
convex_hull,conical,plain,40,5,0.09306116483815963,0.0,1.7381334671610822,0.0,14.834564675600001,0.7641190011745616,8.0e6,0.0
convex_hull,conical,plain,80,5,-4.3298697960381105e-13,0.0,3.5482566463755854,0.0,23.698660825599998,0.5685397499807614,4.0e6,0.0
conical_hull,convex,proposed,10,5,0.6528841896221271,0.0,11.107855176116553,0.0,0.0576491914,0.012184106529456123,42163.0,0.0
conical_hull,convex,proposed,20,5,0.8502692184698901,0.0,0.27240836901851945,0.0,0.4430175914,0.09226983061377485,348601.0,0.0
conical_hull,convex,proposed,40,5,0.28546909462925374,0.0,0.038406731372477076,0.0,1.6254623748,0.10554926281801046,1.329929e6,0.0
conical_hull,convex,proposed,80,5,-3.530509218307998e-12,0.0,0.19068568587394655,0.0,4.763658250200001,0.2024148485518316,1.730252e6,0.0
conical_hull,convex,no_cache,10,5,0.5231864357237104,0.0,10.65098384225797,0.0,0.0574359496,0.0026859981868722106,52304.0,0.0
conical_hull,convex,no_cache,20,5,0.2781719617665157,0.0,0.9095481050956872,0.0,0.33319584999999996,0.10728211964475566,215033.0,0.0
conical_hull,convex,no_cache,40,5,0.33313087225936844,0.0,0.023827475854142913,0.0,1.7348031998,0.12894853579217744,1.232239e6,0.0
conical_hull,convex,no_cache,80,5,5.395683899678261e-12,0.0,0.12432384837876671,1.5515838457795457e-17,6.4349449252,0.03461868277761634,2.227563e6,0.0
