case_study,clustering_type,weight_type,n_rep_periods,capacity_l1_diff_pct
5bus,conical_hull,dirac,40,10.95127494699516
5bus,conical_hull,dirac,80,11.221226813006494
5bus,conical_hull,convex,10,13.395474767721506
5bus,conical_hull,convex,20,11.806823682506321
5bus,conical_hull,convex,40,10.819116020576221
5bus,conical_hull,convex,80,10.760814786082236
5bus,conical_hull,conical_bounded,10,13.344286199662813
5bus,conical_hull,conical_bounded,20,11.707982160239421
5bus,conical_hull,conical_bounded,40,10.684425364386465
5bus,conical_hull,conical_bounded,80,10.706437022341644
5bus,conical_hull,conical,10,36.29797625981987
5bus,conical_hull,conical,20,16.52037179659844
5bus,conical_hull,conical,40,15.552999134963335
5bus,conical_hull,conical,80,14.43855600052038
