case_study,clustering_type,weight_type,n_rep_periods,curtailment_mean_pct,curtailment_sd_pct,n_seeds
118bus,k_means,conical,10,14.963127947359439,0.0,1
118bus,k_means,conical,20,14.963127947359254,0.0,1
118bus,k_means,conical,40,14.963127947359506,0.0,1
118bus,k_means,conical,80,14.963127947359622,0.0,1
118bus,k_medoids,dirac,10,14.963127947359382,0.0,1
118bus,k_medoids,dirac,20,14.963127947359531,0.0,1
118bus,k_medoids,dirac,40,14.963127947359622,0.0,1
118bus,k_medoids,dirac,80,14.963127947359347,0.0,1
118bus,k_medoids,convex,10,14.963127947359588,0.0,1
118bus,k_medoids,convex,20,14.963127947359311,0.0,1
118bus,k_medoids,convex,40,14.963127947359473,0.0,1
118bus,k_medoids,convex,80,14.963127947359622,0.0,1
118bus,k_medoids,conical_bounded,10,14.963127947359496,0.0,1
118bus,k_medoids,conical_bounded,20,14.963127947359553,0.0,1
118bus,k_medoids,conical_bounded,40,14.963127947359506,0.0,1
118bus,k_medoids,conical_bounded,80,14.96312794735945,0.0,1
118bus,k_medoids,conical,10,14.963127947359403,0.0,1
118bus,k_medoids,conical,20,14.963127947359382,0.0,1
118bus,k_medoids,conical,40,14.963127947359427,0.0,1
118bus,k_medoids,conical,80,14.963127947359439,0.0,1
118bus,hierarchical,dirac,10,14.963127947359668,0.0,1
118bus,hierarchical,dirac,20,14.963127947359334,0.0,1
118bus,hierarchical,dirac,40,14.963127947359496,0.0,1
118bus,hierarchical,dirac,80,14.963127947359531,0.0,1
118bus,hierarchical,convex,10,14.963127947359691,0.0,1
118bus,hierarchical,convex,20,14.963127947359828,0.0,1
118bus,hierarchical,convex,40,14.963127947359517,0.0,1
118bus,hierarchical,convex,80,14.963127947359323,0.0,1
118bus,hierarchical,conical_bounded,10,14.963127947359657,0.0,1
118bus,hierarchical,conical_bounded,20,14.963127947359414,0.0,1
118bus,hierarchical,conical_bounded,40,14.963127947359427,0.0,1
118bus,hierarchical,conical_bounded,80,14.963127947359485,0.0,1
118bus,hierarchical,conical,10,14.963127947359427,0.0,1
118bus,hierarchical,conical,20,14.96312794735975,0.0,1
118bus,hierarchical,conical,40,14.963127947359414,0.0,1
118bus,hierarchical,conical,80,14.963127947359565,0.0,1
118bus,chronological,dirac,10,14.963127947359828,0.0,1
118bus,chronological,dirac,20,14.963127947359645,0.0,1
118bus,chronological,dirac,40,14.963127947359853,0.0,1
118bus,chronological,dirac,80,14.963127947359531,0.0,1
118bus,chronological,convex,10,14.963127947359347,0.0,1
118bus,chronological,convex,20,14.96312794735961,0.0,1
118bus,chronological,convex,40,14.96312794735929,0.0,1
118bus,chronological,convex,80,14.963127947359414,0.0,1
118bus,chronological,conical_bounded,10,14.963127947359485,0.0,1
118bus,chronological,conical_bounded,20,14.963127947359542,0.0,1
118bus,chronological,conical_bounded,40,14.963127947359368,0.0,1
118bus,chronological,conical_bounded,80,14.963127947359393,0.0,1
118bus,chronological,conical,10,14.963127947359473,0.0,1
118bus,chronological,conical,20,14.963127947359576,0.0,1
118bus,chronological,conical,40,14.963127947359323,0.0,1
118bus,chronological,conical,80,14.963127947359382,0.0,1
118bus,convex_hull,dirac,10,14.96312794735992,0.0,1
118bus,convex_hull,dirac,20,14.963127947359599,0.0,1
118bus,convex_hull,dirac,40,14.96312794735946,0.0,1
118bus,convex_hull,dirac,80,14.963127947359668,0.0,1
118bus,convex_hull,convex,10,14.963127947359645,0.0,1
118bus,convex_hull,convex,20,14.96312794735976,0.0,1
118bus,convex_hull,convex,40,14.963127947359531,0.0,1
118bus,convex_hull,convex,80,14.963127947359382,0.0,1
118bus,convex_hull,conical_bounded,10,14.963127947359784,0.0,1
118bus,convex_hull,conical_bounded,20,14.963127947359842,0.0,1
118bus,convex_hull,conical_bounded,40,14.963127947359842,0.0,1
118bus,convex_hull,conical_bounded,80,14.963127947359197,0.0,1
118bus,convex_hull,conical,10,14.963127947359645,0.0,1
118bus,convex_hull,conical,20,14.963127947359576,0.0,1
118bus,convex_hull,conical,40,14.963127947359828,0.0,1
118bus,convex_hull,conical,80,14.963127947359382,0.0,1
118bus,convex_hull_with_null,dirac,10,14.963127947359691,0.0,1
118bus,convex_hull_with_null,dirac,20,14.963127947359517,0.0,1
118bus,convex_hull_with_null,dirac,40,14.963127947359347,0.0,1
118bus,convex_hull_with_null,dirac,80,14.963127947359807,0.0,1
118bus,convex_hull_with_null,convex,10,14.963127947359702,0.0,1
118bus,convex_hull_with_null,convex,20,14.963127947359531,0.0,1
118bus,convex_hull_with_null,convex,40,14.963127947359368,0.0,1
