case_study,clustering_type,weight_type,n_rep_periods,stage,time_mean_s,time_sd_s,method_label
gep,convex_hull,dirac,20,fit_weights,1.1751999999999998e-6,1.3290109104142078e-7,
gep,convex_hull,dirac,20,formulate_model,0.5860035997999999,0.030433039695255487,
gep,convex_hull,dirac,20,solve,6.24108495,0.04052017723337272,
gep,convex_hull,dirac,40,read_preprocess,0.0052502166,7.490470312537105e-5,
gep,convex_hull,dirac,40,cluster,2.4418727000000002,0.17176621712341553,
gep,convex_hull,dirac,40,fit_weights,1.8334e-6,1.3509367120631523e-7,
gep,convex_hull,dirac,40,formulate_model,0.8652055086000001,0.024592015072429498,
gep,convex_hull,dirac,40,solve,17.1167669252,0.24867548940572676,
gep,convex_hull,dirac,80,read_preprocess,0.005226649999999999,5.233913038540089e-5,
gep,convex_hull,dirac,80,cluster,7.7746998998,0.27387255365031277,
gep,convex_hull,dirac,80,fit_weights,1.1083999999999998e-6,2.7410727826892887e-7,
gep,convex_hull,dirac,80,formulate_model,1.5699139420000001,0.11083590194938799,
gep,convex_hull,dirac,80,solve,41.457993,0.2530885176795571,
gep,convex_hull,convex,10,read_preprocess,0.0052670336,0.000147296312534632,
gep,convex_hull,convex,10,cluster,0.6661983998000001,0.28728133817283413,
gep,convex_hull,convex,10,fit_weights,0.0901687836,0.07799239629956363,
gep,convex_hull,convex,10,formulate_model,0.5144085668,0.08438815275367449,
gep,convex_hull,convex,10,solve,1.4679124916,0.015351622971047274,
gep,convex_hull,convex,20,read_preprocess,0.0052399248,4.666542443501384e-5,
gep,convex_hull,convex,20,cluster,1.1018516746000002,0.3561285775122005,
gep,convex_hull,convex,20,fit_weights,0.1378603666,0.014065414974083994,
gep,convex_hull,convex,20,formulate_model,0.6574651582,0.02483172335657842,
gep,convex_hull,convex,20,solve,12.007161125,0.17029462652707822,
gep,convex_hull,convex,40,read_preprocess,0.0053541833999999995,0.00015390014318966702,
gep,convex_hull,convex,40,cluster,2.4793137084,0.16851284142014417,
gep,convex_hull,convex,40,fit_weights,0.4035356918,0.04095355155133152,
gep,convex_hull,convex,40,formulate_model,0.9363460752,0.018309836932423718,
gep,convex_hull,convex,40,solve,20.8212446248,0.1864618689206983,
gep,convex_hull,convex,80,read_preprocess,0.0052560918,7.352180849040638e-5,
gep,convex_hull,convex,80,cluster,7.890697099800001,0.3928226536420673,
gep,convex_hull,convex,80,fit_weights,1.241024508,0.11424669997927986,
