name,seed,n_rep_periods,period_length,clustering_type,distance,weight_type,projection_error,termination_status,objective_value,evaluation_termination_status,evaluated_objective_value,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
gep_20_24_k_medoids_euclidean_conical_bounded_1000_0.0001,522,20,24,k_medoids,euclidean,conical_bounded,114.13896337427556,OPTIMAL,5.400972232446861e7,OPTIMAL,1.2534763298289263e8,0.0,0.0,0.007699708,0.204337959,7.775256959,1.173774458,27.386241,0.66358875
gep_20_24_hull_euclidean_conical_bounded_1000_0.0001,522,20,24,hull,euclidean,conical_bounded,101.03931950625943,OPTIMAL,6.019808611194112e7,OPTIMAL,6.70175553578372e7,0.0,0.0,0.007777458,1.855438042,7.156244875,1.188968334,10.765723667,0.66358875
gep_20_24_k_means_euclidean_conical_1000_0.0001,522,20,24,k_means,euclidean,conical,103.30201841360567,OPTIMAL,5.3180816954068124e7,OPTIMAL,1.039324381536777e8,0.0,0.0,0.00775675,0.206786791,5.248853125,1.166023791,12.110275,0.66358875
gep_20_24_k_medoids_euclidean_conical_1000_0.0001,522,20,24,k_medoids,euclidean,conical,123.05539465498038,OPTIMAL,5.517131547148531e7,OPTIMAL,1.2741580005551094e8,0.0,0.0,0.007816208,0.219842917,4.616629292,1.130510042,13.787200709,0.66358875
gep_20_24_hull_euclidean_conical_1000_0.0001,522,20,24,hull,euclidean,conical,107.08888290670377,OPTIMAL,6.727871854459745e7,OPTIMAL,6.617778015789292e7,0.0,0.0,0.007724,4.632041792,5.849256,1.168991166,20.934990417,0.66358875
gep_40_24_k_means_euclidean_dirac_1000_0.0001,522,40,24,k_means,euclidean,dirac,101.81145536981693,OPTIMAL,5.305180411470511e7,OPTIMAL,9.665703877454913e7,0.0,0.0,0.007745042,0.22912675,1.042e-6,2.306061167,24.042625042,0.66358875
gep_40_24_k_medoids_euclidean_dirac_1000_0.0001,522,40,24,k_medoids,euclidean,dirac,128.42133287812567,OPTIMAL,5.7224862678853594e7,OPTIMAL,9.717089592277452e7,0.0,0.0,0.007707791,0.469879917,7.5e-7,2.010790583,27.744127875,0.66358875
gep_40_24_hull_euclidean_dirac_1000_0.0001,522,40,24,hull,euclidean,dirac,137.53099530359475,OPTIMAL,6.166088591425453e7,OPTIMAL,6.2673645349849075e7,0.0,0.0,0.007709709,2.788454583,1.0e-6,1.939631209,17.73353625,0.66358875
gep_40_24_k_means_euclidean_convex_1000_0.0001,522,40,24,k_means,euclidean,convex,95.58773764180341,OPTIMAL,5.309505636341162e7,OPTIMAL,9.624771056308669e7,0.0,0.0,0.007664042,0.924697541,12.163727708,1.949481417,43.743845542,0.66358875
gep_40_24_k_medoids_euclidean_convex_1000_0.0001,522,40,24,k_medoids,euclidean,convex,101.90766852590698,OPTIMAL,5.7609862611712635e7,OPTIMAL,9.763686529920465e7,0.0,0.0,0.008001375,0.610195292,11.925888333,2.019223833,39.446029291,0.66358875
gep_40_24_hull_euclidean_convex_1000_0.0001,522,40,24,hull,euclidean,convex,92.14706243314228,OPTIMAL,6.457814480088775e7,OPTIMAL,6.247882596411914e7,0.0,0.0,0.007740833,3.027955291,11.411980792,2.095814875,41.120219042,0.66358875
gep_40_24_k_means_euclidean_conical_bounded_1000_0.0001,522,40,24,k_means,euclidean,conical_bounded,95.10214774807099,OPTIMAL,5.2835934288033016e7,OPTIMAL,9.579309831062692e7,0.0,0.0,0.007801167,0.208759167,12.929604125,2.023855334,36.719545917,0.66358875
gep_40_24_k_medoids_euclidean_conical_bounded_1000_0.0001,522,40,24,k_medoids,euclidean,conical_bounded,100.89569287228296,OPTIMAL,5.679379310439874e7,OPTIMAL,9.909462820997605e7,0.0,0.0,0.007653958,0.200695208,12.107207416,1.992826042,43.562832375,0.66358875
gep_40_24_hull_euclidean_conical_bounded_1000_0.0001,522,40,24,hull,euclidean,conical_bounded,90.32187715430886,OPTIMAL,6.4817469349927075e7,OPTIMAL,6.261791605933832e7,0.0,0.0,0.007743833,3.385775292,11.295577959,2.022603292,37.628372375,0.66358875
gep_40_24_k_means_euclidean_conical_1000_0.0001,522,40,24,k_means,euclidean,conical,97.11861390267696,OPTIMAL,5.343070966374049e7,OPTIMAL,9.618430402482902e7,0.0,0.0,0.007843292,0.213851292,7.879193959,2.059717458,40.396993292,0.66358875
gep_40_24_k_medoids_euclidean_conical_1000_0.0001,522,40,24,k_medoids,euclidean,conical,109.04561249498651,OPTIMAL,5.793238341392808e7,OPTIMAL,9.81776632708679e7,0.0,0.0,0.00773275,0.900572417,7.57895075,1.990008125,40.977121875,0.66358875
